	phylum	class	order	family	Final list	taxonomic rank	Nb record BOLD 2022-02-24
Animals	Arthropoda	Insecta	Diptera	Xylophagidae	family	Xylophagidae	608
Animals	Arthropoda	Insecta	Diptera	Mesembrinellidae	family	Mesembrinellidae	632
Animals	Arthropoda	Insecta	Diptera	Chyromyidae	family	Chyromyidae	655
Animals	Arthropoda	Insecta	Diptera	Brachystomatidae	family	Brachystomatidae	702
Animals	Arthropoda	Insecta	Diptera	Opomyzidae	family	Opomyzidae	716
Animals	Arthropoda	Insecta	Diptera	Platypezidae	family	Platypezidae	816
Animals	Arthropoda	Insecta	Diptera	Lonchopteridae	family	Lonchopteridae	908
Animals	Arthropoda	Insecta	Diptera	Periscelididae	family	Periscelididae	991
Animals	Arthropoda	Insecta	Diptera	Dryomyzidae	family	Dryomyzidae	1044
Animals	Arthropoda	Insecta	Diptera	Asteiidae	family	Asteiidae	1104
Animals	Arthropoda	Insecta	Diptera	Piophilidae	family	Piophilidae	1240
Animals	Arthropoda	Insecta	Diptera	Glossinidae	family	Glossinidae	1265
Animals	Arthropoda	Insecta	Diptera	Aulacigastridae	family	Aulacigastridae	1279
Animals	Arthropoda	Insecta	Diptera	Oestridae	family	Oestridae	1293
Animals	Arthropoda	Insecta	Diptera	Anthomyzidae	family	Anthomyzidae	1314
Animals	Arthropoda	Insecta	Diptera	Corethrellidae	family	Corethrellidae	1362
Animals	Arthropoda	Insecta	Diptera	Carnidae	family	Carnidae	1382
Animals	Arthropoda	Insecta	Diptera	Ditomyiidae	family	Ditomyiidae	1459
Animals	Arthropoda	Insecta	Diptera	Xylomyidae	family	Xylomyidae	1574
Animals	Arthropoda	Insecta	Diptera	Psilidae	family	Psilidae	1622
Animals	Arthropoda	Insecta	Diptera	Richardiidae	family	Richardiidae	1893
Animals	Arthropoda	Insecta	Diptera	Iteaphilidae	family	Iteaphilidae	1974
Animals	Arthropoda	Insecta	Diptera	Cryptochetidae	family	Cryptochetidae	1977
Animals	Arthropoda	Insecta	Diptera	Pediciidae	family	Pediciidae	2304
Animals	Arthropoda	Insecta	Diptera	Chamaemyiidae	family	Chamaemyiidae	2414
Animals	Arthropoda	Insecta	Diptera	Trichoceridae	family	Trichoceridae	2431
Animals	Arthropoda	Insecta	Diptera	Platystomatidae	family	Platystomatidae	2511
Animals	Arthropoda	Insecta	Diptera	Hippoboscidae	family	Hippoboscidae	2588
Animals	Arthropoda	Insecta	Diptera	Lonchaeidae	family	Lonchaeidae	3089
Animals	Arthropoda	Insecta	Diptera	Therevidae	family	Therevidae	3154
Animals	Arthropoda	Insecta	Diptera	Micropezidae	family	Micropezidae	3240
Animals	Arthropoda	Insecta	Diptera	Ulidiidae	family	Ulidiidae	3448
Animals	Arthropoda	Insecta	Diptera	Rhagionidae	family	Rhagionidae	3667
Animals	Arthropoda	Insecta	Diptera	Chaoboridae	family	Chaoboridae	3777
Animals	Arthropoda	Insecta	Diptera	Conopidae	family	Conopidae	3844
Animals	Arthropoda	Insecta	Diptera	Clusiidae	family	Clusiidae	4129
Animals	Arthropoda	Insecta	Diptera	Sciomyzidae	family	Sciomyzidae	4570
Animals	Arthropoda	Insecta	Diptera	Sepsidae	family	Sepsidae	5590
Animals	Arthropoda	Insecta	Diptera	Anisopodidae	family	Anisopodidae	5774
Animals	Arthropoda	Insecta	Diptera	Bombyliidae	family	Bombyliidae	6524
Animals	Arthropoda	Insecta	Diptera	Bibionidae	family	Bibionidae	6532
Animals	Arthropoda	Insecta	Diptera	Polleniidae	family	Polleniidae	7115
Animals	Arthropoda	Insecta	Diptera	Fanniidae	family	Fanniidae	8156
Animals	Arthropoda	Insecta	Diptera	Keroplatidae	family	Keroplatidae	9894
Animals	Arthropoda	Insecta	Diptera	Scathophagidae	family	Scathophagidae	11069
Animals	Arthropoda	Insecta	Diptera	Scatopsidae	family	Scatopsidae	11218
Animals	Arthropoda	Insecta	Diptera	Asilidae	family	Asilidae	11363
Animals	Arthropoda	Insecta	Diptera	Tipulidae	family	Tipulidae	11842
Animals	Arthropoda	Insecta	Diptera	Lauxaniidae	family	Lauxaniidae	13035
Animals	Arthropoda	Insecta	Diptera	Heleomyzidae	family	Heleomyzidae	13799
Animals	Arthropoda	Insecta	Diptera	Stratiomyidae	family	Stratiomyidae	15292
Animals	Arthropoda	Insecta	Diptera	Tabanidae	family	Tabanidae	17946
Animals	Arthropoda	Insecta	Diptera	Ephydridae	family	Ephydridae	18398
Animals	Arthropoda	Insecta	Diptera	Pipunculidae	family	Pipunculidae	19504
Animals	Arthropoda	Insecta	Diptera	Calliphoridae	family	Calliphoridae	22169
Animals	Arthropoda	Insecta	Diptera	Simuliidae	family	Simuliidae	24040
Animals	Arthropoda	Insecta	Diptera	Sarcophagidae	family	Sarcophagidae	24963
Animals	Arthropoda	Insecta	Diptera	Empididae	family	Empididae	26399
Animals	Arthropoda	Insecta	Diptera	Milichiidae	family	Milichiidae	26750
Animals	Arthropoda	Insecta	Diptera	Agromyzidae	family	Agromyzidae	36700
Animals	Arthropoda	Insecta	Diptera	Limoniidae	family	Limoniidae	38071
Animals	Arthropoda	Insecta	Diptera	Tephritidae	family	Tephritidae	42366
Animals	Arthropoda	Insecta	Diptera	Hybotidae	family	Hybotidae	55731
Animals	Arthropoda	Insecta	Diptera	Chloropidae	family	Chloropidae	63032
Animals	Arthropoda	Insecta	Diptera	Anthomyiidae	family	Anthomyiidae	64147
Animals	Arthropoda	Insecta	Diptera	Syrphidae	family	Syrphidae	68535
Animals	Arthropoda	Insecta	Diptera	Drosophilidae	family	Drosophilidae	69311
Animals	Arthropoda	Insecta	Diptera	Sphaeroceridae	family	Sphaeroceridae	71783
Animals	Arthropoda	Insecta	Diptera	Tachinidae	family	Tachinidae	78421
Animals	Arthropoda	Insecta	Diptera	Mycetophilidae	family	Mycetophilidae	95493
Animals	Arthropoda	Insecta	Diptera	Culicidae	family	Culicidae	120961
Animals	Arthropoda	Insecta	Diptera	Muscidae	family	Muscidae	127824
Animals	Arthropoda	Insecta	Diptera	Dolichopodidae	family	Dolichopodidae	147900
Animals	Arthropoda	Insecta	Diptera	Psychodidae	family	Psychodidae	197501
Animals	Arthropoda	Insecta	Diptera	Ceratopogonidae	family	Ceratopogonidae	391950
Animals	Arthropoda	Insecta	Diptera	Phoridae	family	Phoridae	634926
Animals	Arthropoda	Insecta	Diptera	Sciaridae	family	Sciaridae	662835
Animals	Arthropoda	Insecta	Diptera	Chironomidae	family	Chironomidae	960953
Animals	Arthropoda	Insecta	Diptera	Cecidomyiidae	family	Cecidomyiidae	1158684
