phylum	class	order	family	Final list	taxonomic rank	Nb record BOLD 2022-02-24
Arthropoda	Insecta	Lepidoptera	Epimarptidae	Epimarptidae	family	4
Arthropoda	Insecta	Lepidoptera	Whalleyanidae	Whalleyanidae	family	4
Arthropoda	Insecta	Lepidoptera	Pseudobistonidae	Pseudobistonidae	family	6
Arthropoda	Insecta	Lepidoptera	Simaethistidae	Simaethistidae	family	7
Arthropoda	Insecta	Lepidoptera	Somabrachyidae	Somabrachyidae	family	7
Arthropoda	Insecta	Lepidoptera	Prodidactidae	Prodidactidae	family	8
Arthropoda	Insecta	Lepidoptera	Agathiphagidae	Agathiphagidae	family	11
Arthropoda	Insecta	Lepidoptera	Phaudidae	Phaudidae	family	11
Arthropoda	Insecta	Lepidoptera	Tridentaformidae	Tridentaformidae	family	11
Arthropoda	Insecta	Lepidoptera	Heterobathmiidae	Heterobathmiidae	family	12
Arthropoda	Insecta	Lepidoptera	Mnesarchaeidae	Mnesarchaeidae	family	14
Arthropoda	Insecta	Lepidoptera	Tonzidae	Tonzidae	family	14
Arthropoda	Insecta	Lepidoptera	Cimeliidae	Cimeliidae	family	17
Arthropoda	Insecta	Lepidoptera	Schistonoeidae	Schistonoeidae	family	17
Arthropoda	Insecta	Lepidoptera	Andesianidae	Andesianidae	family	18
Arthropoda	Insecta	Lepidoptera	Lophocoronidae	Lophocoronidae	family	19
Arthropoda	Insecta	Lepidoptera	Carthaeidae	Carthaeidae	family	20
Arthropoda	Insecta	Lepidoptera	Millieriidae	Millieriidae	family	20
Arthropoda	Insecta	Lepidoptera	Acanthopteroctetidae	Acanthopteroctetidae	family	26
Arthropoda	Insecta	Lepidoptera	Doidae	Doidae	family	33
Arthropoda	Insecta	Lepidoptera	Scythropiidae	Scythropiidae	family	36
Arthropoda	Insecta	Lepidoptera	Cyclotornidae	Cyclotornidae	family	38
Arthropoda	Insecta	Lepidoptera	Callidulidae	Callidulidae	family	49
Arthropoda	Insecta	Lepidoptera	Neopseustidae	Neopseustidae	family	51
Arthropoda	Insecta	Lepidoptera	Aididae	Aididae	family	71
Arthropoda	Insecta	Lepidoptera	Heterogynidae	Heterogynidae	family	72
Arthropoda	Insecta	Lepidoptera	Tineodidae	Tineodidae	family	83
Arthropoda	Insecta	Lepidoptera	Epicopeiidae	Epicopeiidae	family	91
Arthropoda	Insecta	Lepidoptera	Himantopteridae	Himantopteridae	family	99
Arthropoda	Insecta	Lepidoptera	Meessiidae	Meessiidae	family	114
Arthropoda	Insecta	Lepidoptera	Dudgeoneidae	Dudgeoneidae	family	115
Arthropoda	Insecta	Lepidoptera	Cecidosidae	Cecidosidae	family	149
Arthropoda	Insecta	Lepidoptera	Metarbelidae	Metarbelidae	family	158
Arthropoda	Insecta	Lepidoptera	Oenosandridae	Oenosandridae	family	161
Arthropoda	Insecta	Lepidoptera	Galacticidae	Galacticidae	family	162
Arthropoda	Insecta	Lepidoptera	Pterolonchidae	Pterolonchidae	family	172
Arthropoda	Insecta	Lepidoptera	Epipyropidae	Epipyropidae	family	191
Arthropoda	Insecta	Lepidoptera	Douglasiidae	Douglasiidae	family	205
Arthropoda	Insecta	Lepidoptera	Endromidae	Endromidae	family	206
Arthropoda	Insecta	Lepidoptera	Schreckensteiniidae	Schreckensteiniidae	family	218
Arthropoda	Insecta	Lepidoptera	Copromorphidae	Copromorphidae	family	272
Arthropoda	Insecta	Lepidoptera	Castniidae	Castniidae	family	287
Arthropoda	Insecta	Lepidoptera	Palaephatidae	Palaephatidae	family	287
Arthropoda	Insecta	Lepidoptera	Roeslerstammiidae	Roeslerstammiidae	family	307
Arthropoda	Insecta	Lepidoptera	Heliodinidae	Heliodinidae	family	316
Arthropoda	Insecta	Lepidoptera	Brachodidae	Brachodidae	family	330
Arthropoda	Insecta	Lepidoptera	Bedelliidae	Bedelliidae	family	383
Arthropoda	Insecta	Lepidoptera	Phiditiidae	Phiditiidae	family	384
Arthropoda	Insecta	Lepidoptera	Lepidoptera_incertae_sedis	Lepidoptera_incertae_sedis	family	385
Arthropoda	Insecta	Lepidoptera	Eriocottidae	Eriocottidae	family	394
Arthropoda	Insecta	Lepidoptera	Sematuridae	Sematuridae	family	424
Arthropoda	Insecta	Lepidoptera	Urodidae	Urodidae	family	432
Arthropoda	Insecta	Lepidoptera	Lypusidae	Lypusidae	family	464
Arthropoda	Insecta	Lepidoptera	Alucitidae	Alucitidae	family	497
Arthropoda	Insecta	Lepidoptera	Hyblaeidae	Hyblaeidae	family	505
Arthropoda	Insecta	Lepidoptera	Lacturidae	Lacturidae	family	507
Arthropoda	Insecta	Lepidoptera	Incurvariidae	Incurvariidae	family	538
Arthropoda	Insecta	Lepidoptera	Praydidae	Praydidae	family	549
Arthropoda	Insecta	Lepidoptera	Attevidae	Attevidae	family	559
Arthropoda	Insecta	Lepidoptera	Opostegidae	Opostegidae	family	720
Arthropoda	Insecta	Lepidoptera	Epermeniidae	Epermeniidae	family	741
Arthropoda	Insecta	Lepidoptera	Hedylidae	Hedylidae	family	793
Arthropoda	Insecta	Lepidoptera	Carposinidae	Carposinidae	family	804
Arthropoda	Insecta	Lepidoptera	Dryadaulidae	Dryadaulidae	family	812
Arthropoda	Insecta	Lepidoptera	Brahmaeidae	Brahmaeidae	family	1031
Arthropoda	Insecta	Lepidoptera	Eriocraniidae	Eriocraniidae	family	1059
Arthropoda	Insecta	Lepidoptera	Batrachedridae	Batrachedridae	family	1060
Arthropoda	Insecta	Lepidoptera	Anthelidae	Anthelidae	family	1065
Arthropoda	Insecta	Lepidoptera	Dalceridae	Dalceridae	family	1152
Arthropoda	Insecta	Lepidoptera	Tischeriidae	Tischeriidae	family	1187
Arthropoda	Insecta	Lepidoptera	Ypsolophidae	Ypsolophidae	family	1348
Arthropoda	Insecta	Lepidoptera	Immidae	Immidae	family	1449
Arthropoda	Insecta	Lepidoptera	Prodoxidae	Prodoxidae	family	1498
Arthropoda	Insecta	Lepidoptera	Micropterigidae	Micropterigidae	family	1508
Arthropoda	Insecta	Lepidoptera	Adelidae	Adelidae	family	1576
Arthropoda	Insecta	Lepidoptera	Heliozelidae	Heliozelidae	family	1673
Arthropoda	Insecta	Lepidoptera	Lyonetiidae	Lyonetiidae	family	1907
Arthropoda	Insecta	Lepidoptera	Glyphipterigidae	Glyphipterigidae	family	1968
Arthropoda	Insecta	Lepidoptera	Stathmopodidae	Stathmopodidae	family	1983
Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopygidae	family	2145
Arthropoda	Insecta	Lepidoptera	Apatelodidae	Apatelodidae	family	2329
Arthropoda	Insecta	Lepidoptera	Yponomeutidae	Yponomeutidae	family	2390
Arthropoda	Insecta	Lepidoptera	Mimallonidae	Mimallonidae	family	2396
Arthropoda	Insecta	Lepidoptera	Euteliidae	Euteliidae	family	2459
Arthropoda	Insecta	Lepidoptera	Momphidae	Momphidae	family	2526
Arthropoda	Insecta	Lepidoptera	Hepialidae	Hepialidae	family	3174
Arthropoda	Insecta	Lepidoptera	Eupterotidae	Eupterotidae	family	3243
Arthropoda	Insecta	Lepidoptera	Bombycidae	Bombycidae	family	3313
Arthropoda	Insecta	Lepidoptera	Cossidae	Cossidae	family	3324
Arthropoda	Insecta	Lepidoptera	Argyresthiidae	Argyresthiidae	family	3440
Arthropoda	Insecta	Lepidoptera	Zygaenidae	Zygaenidae	family	3462
Arthropoda	Insecta	Lepidoptera	Choreutidae	Choreutidae	family	3688
Arthropoda	Insecta	Lepidoptera	Drepanidae	Drepanidae	family	3846
Arthropoda	Insecta	Lepidoptera	Uraniidae	Uraniidae	family	3975
Arthropoda	Insecta	Lepidoptera	Thyrididae	Thyrididae	family	4544
Arthropoda	Insecta	Lepidoptera	Lecithoceridae	Lecithoceridae	family	4751
Arthropoda	Insecta	Lepidoptera	Plutellidae	Plutellidae	family	5415
Arthropoda	Insecta	Lepidoptera	Scythrididae	Scythrididae	family	5828
Arthropoda	Insecta	Lepidoptera	Sesiidae	Sesiidae	family	5899
Arthropoda	Insecta	Lepidoptera	Bucculatricidae	Bucculatricidae	family	5911
Arthropoda	Insecta	Lepidoptera	Pterophoridae	Pterophoridae	family	6615
Arthropoda	Insecta	Lepidoptera	Psychidae	Psychidae	family	6642
Arthropoda	Insecta	Lepidoptera	Autostichidae	Autostichidae	family	7548
Arthropoda	Insecta	Lepidoptera	Xyloryctidae	Xyloryctidae	family	8405
Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodidae	family	9074
Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilionidae	family	10688
Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodinidae	family	11308
Arthropoda	Insecta	Lepidoptera	Blastobasidae	Blastobasidae	family	12118
Arthropoda	Insecta	Lepidoptera	Elachistidae	Elachistidae	family	12977
Arthropoda	Insecta	Lepidoptera	Nolidae	Nolidae	family	13796
Arthropoda	Insecta	Lepidoptera	Lasiocampidae	Lasiocampidae	family	14897
Arthropoda	Insecta	Lepidoptera	Nepticulidae	Nepticulidae	family	15619
Arthropoda	Insecta	Lepidoptera	Coleophoridae	Coleophoridae	family	20341
Arthropoda	Insecta	Lepidoptera	Cosmopterigidae	Cosmopterigidae	family	21298
Arthropoda	Insecta	Lepidoptera	Pieridae	Pieridae	family	21563
Arthropoda	Insecta	Lepidoptera	Oecophoridae	Oecophoridae	family	22088
Arthropoda	Insecta	Lepidoptera	Gracillariidae	Gracillariidae	family	36342
Arthropoda	Insecta	Lepidoptera	Lycaenidae	Lycaenidae	family	42109
Arthropoda	Insecta	Lepidoptera	Depressariidae	Depressariidae	family	42560
Arthropoda	Insecta	Lepidoptera	Notodontidae	Notodontidae	family	46155
Arthropoda	Insecta	Lepidoptera	Tineidae	Tineidae	family	48246
Arthropoda	Insecta	Lepidoptera	Pyralidae	Pyralidae	family	50239
Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiidae	family	50293
Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricidae	family	80805
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalidae	family	84841
Arthropoda	Insecta	Lepidoptera	Gelechiidae	Gelechiidae	family	97896
Arthropoda	Insecta	Lepidoptera	Crambidae	Crambidae	family	101186
Arthropoda	Insecta	Lepidoptera	Saturniidae	Saturniidae	family	102523
Arthropoda	Insecta	Lepidoptera	Noctuidae	Noctuidae	family	133911
Arthropoda	Insecta	Lepidoptera	Erebidae	Erebidae	family	182902
Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphingidae	family	191518
Arthropoda	Insecta	Lepidoptera	Geometridae	Geometridae	family	225531
Arthropoda	Insecta	Diptera	Mystacinobiidae	Mystacinobiidae	family	1
Arthropoda	Insecta	Diptera	Nannodastiidae	Nannodastiidae	family	1
Arthropoda	Insecta	Diptera	Natalimyzidae	Natalimyzidae	family	1
Arthropoda	Insecta	Diptera	Xenasteiidae	Xenasteiidae	family	1
Arthropoda	Insecta	Diptera	Ctenostylidae	Ctenostylidae	family	2
Arthropoda	Insecta	Diptera	Homalocnemiidae	Homalocnemiidae	family	2
Arthropoda	Insecta	Diptera	Huttoninidae	Huttoninidae	family	2
Arthropoda	Insecta	Diptera	Oreoleptidae	Oreoleptidae	family	2
Arthropoda	Insecta	Diptera	Pantophthalmidae	Pantophthalmidae	family	2
Arthropoda	Insecta	Diptera	Deuterophlebiidae	Deuterophlebiidae	family	3
Arthropoda	Insecta	Diptera	Evocoidae	Evocoidae	family	3
Arthropoda	Insecta	Diptera	Hilarimorphidae	Hilarimorphidae	family	3
Arthropoda	Insecta	Diptera	Braulidae	Braulidae	family	4
Arthropoda	Insecta	Diptera	Perissommatidae	Perissommatidae	family	4
Arthropoda	Insecta	Diptera	Apystomyiidae	Apystomyiidae	family	5
Arthropoda	Insecta	Diptera	Australimyzidae	Australimyzidae	family	5
Arthropoda	Insecta	Diptera	Diptera_family_incertae_sedis	Diptera_family_incertae_sedis	family	5
Arthropoda	Insecta	Diptera	Gobryidae	Gobryidae	family	5
Arthropoda	Insecta	Diptera	Marginidae	Marginidae	family	5
Arthropoda	Insecta	Diptera	Neminidae	Neminidae	family	5
Arthropoda	Insecta	Diptera	Teratomyzidae	Teratomyzidae	family	5
Arthropoda	Insecta	Diptera	Axymyiidae	Axymyiidae	family	6
Arthropoda	Insecta	Diptera	Neurochaetidae	Neurochaetidae	family	6
Arthropoda	Insecta	Diptera	Somatiidae	Somatiidae	family	6
Arthropoda	Insecta	Diptera	Helcomyzidae	Helcomyzidae	family	8
Arthropoda	Insecta	Diptera	Apsilocephalidae	Apsilocephalidae	family	9
Arthropoda	Insecta	Diptera	Cypselosomatidae	Cypselosomatidae	family	9
Arthropoda	Insecta	Diptera	Ironomyiidae	Ironomyiidae	family	9
Arthropoda	Insecta	Diptera	Megamerinidae	Megamerinidae	family	10
Arthropoda	Insecta	Diptera	Pelecorhynchidae	Pelecorhynchidae	family	10
Arthropoda	Insecta	Diptera	Opetiidae	Opetiidae	family	11
Arthropoda	Insecta	Diptera	Paraleucopidae	Paraleucopidae	family	12
Arthropoda	Insecta	Diptera	Tanyderidae	Tanyderidae	family	12
Arthropoda	Insecta	Diptera	Syringogastridae	Syringogastridae	family	13
Arthropoda	Insecta	Diptera	Pachyneuridae	Pachyneuridae	family	14
Arthropoda	Insecta	Diptera	Mormotomyiidae	Mormotomyiidae	family	15
Arthropoda	Insecta	Diptera	Nothybidae	Nothybidae	family	16
Arthropoda	Insecta	Diptera	Atelestidae	Atelestidae	family	19
Arthropoda	Insecta	Diptera	Camillidae	Camillidae	family	19
Arthropoda	Insecta	Diptera	Helosciomyzidae	Helosciomyzidae	family	19
Arthropoda	Insecta	Diptera	Sciaroidea_incertae_sedis	Sciaroidea_incertae_sedis	family	20
Arthropoda	Insecta	Diptera	Inbiomyiidae	Inbiomyiidae	family	23
Arthropoda	Insecta	Diptera	Nymphomyiidae	Nymphomyiidae	family	29
Arthropoda	Insecta	Diptera	Austroleptidae	Austroleptidae	family	37
Arthropoda	Insecta	Diptera	Tanypezidae	Tanypezidae	family	37
Arthropoda	Insecta	Diptera	Hesperinidae	Hesperinidae	family	38
Arthropoda	Insecta	Diptera	Ropalomeridae	Ropalomeridae	family	38
Arthropoda	Insecta	Diptera	Bolbomyiidae	Bolbomyiidae	family	50
Arthropoda	Insecta	Diptera	Canthyloscelidae	Canthyloscelidae	family	55
Arthropoda	Insecta	Diptera	Strongylophthalmyiidae	Strongylophthalmyiidae	family	55
Arthropoda	Insecta	Diptera	Apioceridae	Apioceridae	family	56
Arthropoda	Insecta	Diptera	Vermileonidae	Vermileonidae	family	76
Arthropoda	Insecta	Diptera	Celyphidae	Celyphidae	family	80
Arthropoda	Insecta	Diptera	Pseudopomyzidae	Pseudopomyzidae	family	88
Arthropoda	Insecta	Diptera	Curtonotidae	Curtonotidae	family	106
Arthropoda	Insecta	Diptera	Acartophthalmidae	Acartophthalmidae	family	129
Arthropoda	Insecta	Diptera	Athericidae	Athericidae	family	142
Arthropoda	Insecta	Diptera	Oreogetonidae	Oreogetonidae	family	149
Arthropoda	Insecta	Diptera	Coelopidae	Coelopidae	family	152
Arthropoda	Insecta	Diptera	Acroceridae	Acroceridae	family	189
Arthropoda	Insecta	Diptera	Pyrgotidae	Pyrgotidae	family	197
Arthropoda	Insecta	Diptera	Odiniidae	Odiniidae	family	214
Arthropoda	Insecta	Diptera	Cylindrotomidae	Cylindrotomidae	family	216
Arthropoda	Insecta	Diptera	Diastatidae	Diastatidae	family	230
Arthropoda	Insecta	Diptera	Pallopteridae	Pallopteridae	family	256
Arthropoda	Insecta	Diptera	Canacidae	Canacidae	family	276
Arthropoda	Insecta	Diptera	Nemestrinidae	Nemestrinidae	family	329
Arthropoda	Insecta	Diptera	Diadocidiidae	Diadocidiidae	family	350
Arthropoda	Insecta	Diptera	Brachystomatidae	Brachystomatidae	family	392
Arthropoda	Insecta	Diptera	Neriidae	Neriidae	family	397
Arthropoda	Insecta	Diptera	Ptychopteridae	Ptychopteridae	family	402
Arthropoda	Insecta	Diptera	Dixidae	Dixidae	family	429
Arthropoda	Insecta	Diptera	Scenopinidae	Scenopinidae	family	455
Arthropoda	Insecta	Diptera	Fergusoninidae	Fergusoninidae	family	467
Arthropoda	Insecta	Diptera	Mesembrinellidae	Mesembrinellidae	family	467
Arthropoda	Insecta	Diptera	Periscelididae	Periscelididae	family	486
Arthropoda	Insecta	Diptera	Blephariceridae	Blephariceridae	family	490
Arthropoda	Insecta	Diptera	Diopsidae	Diopsidae	family	509
Arthropoda	Insecta	Diptera	Thaumaleidae	Thaumaleidae	family	516
Arthropoda	Insecta	Diptera	Bolitophilidae	Bolitophilidae	family	551
Arthropoda	Insecta	Diptera	Mydidae	Mydidae	family	562
Arthropoda	Insecta	Diptera	Chyromyidae	Chyromyidae	family	572
Arthropoda	Insecta	Diptera	Xylophagidae	Xylophagidae	family	592
Arthropoda	Insecta	Diptera	Opomyzidae	Opomyzidae	family	684
Arthropoda	Insecta	Diptera	Platypezidae	Platypezidae	family	770
Arthropoda	Insecta	Diptera	Lonchopteridae	Lonchopteridae	family	863
Arthropoda	Insecta	Diptera	Glossinidae	Glossinidae	family	919
Arthropoda	Insecta	Diptera	Ditomyiidae	Ditomyiidae	family	963
Arthropoda	Insecta	Diptera	Asteiidae	Asteiidae	family	980
Arthropoda	Insecta	Diptera	Dryomyzidae	Dryomyzidae	family	1029
Arthropoda	Insecta	Diptera	Corethrellidae	Corethrellidae	family	1094
Arthropoda	Insecta	Diptera	Piophilidae	Piophilidae	family	1134
Arthropoda	Insecta	Diptera	Anthomyzidae	Anthomyzidae	family	1171
Arthropoda	Insecta	Diptera	Oestridae	Oestridae	family	1257
Arthropoda	Insecta	Diptera	Aulacigastridae	Aulacigastridae	family	1263
Arthropoda	Insecta	Diptera	Carnidae	Carnidae	family	1319
Arthropoda	Insecta	Diptera	Psilidae	Psilidae	family	1505
Arthropoda	Insecta	Diptera	Xylomyidae	Xylomyidae	family	1518
Arthropoda	Insecta	Diptera	Richardiidae	Richardiidae	family	1607
Arthropoda	Insecta	Diptera	Pediciidae	Pediciidae	family	1887
Arthropoda	Insecta	Diptera	Cryptochetidae	Cryptochetidae	family	1929
Arthropoda	Insecta	Diptera	Iteaphila-group	Iteaphila-group	family	1967
Arthropoda	Insecta	Diptera	Hippoboscidae	Hippoboscidae	family	1996
Arthropoda	Insecta	Diptera	Ulidiidae	Ulidiidae	family	2041
Arthropoda	Insecta	Diptera	Platystomatidae	Platystomatidae	family	2143
Arthropoda	Insecta	Diptera	Trichoceridae	Trichoceridae	family	2170
Arthropoda	Insecta	Diptera	Chaoboridae	Chaoboridae	family	2181
Arthropoda	Insecta	Diptera	Chamaemyiidae	Chamaemyiidae	family	2225
Arthropoda	Insecta	Diptera	Lonchaeidae	Lonchaeidae	family	2466
Arthropoda	Insecta	Diptera	Micropezidae	Micropezidae	family	2552
Arthropoda	Insecta	Diptera	Therevidae	Therevidae	family	2757
Arthropoda	Insecta	Diptera	Clusiidae	Clusiidae	family	3085
Arthropoda	Insecta	Diptera	Rhagionidae	Rhagionidae	family	3453
Arthropoda	Insecta	Diptera	Conopidae	Conopidae	family	3458
Arthropoda	Insecta	Diptera	Sciomyzidae	Sciomyzidae	family	4233
Arthropoda	Insecta	Diptera	Sepsidae	Sepsidae	family	4819
Arthropoda	Insecta	Diptera	Bombyliidae	Bombyliidae	family	5278
Arthropoda	Insecta	Diptera	Anisopodidae	Anisopodidae	family	5528
Arthropoda	Insecta	Diptera	Bibionidae	Bibionidae	family	5870
Arthropoda	Insecta	Diptera	Polleniidae	Polleniidae	family	6625
Arthropoda	Insecta	Diptera	Scatopsidae	Scatopsidae	family	7515
Arthropoda	Insecta	Diptera	Fanniidae	Fanniidae	family	7731
Arthropoda	Insecta	Diptera	Keroplatidae	Keroplatidae	family	8674
Arthropoda	Insecta	Diptera	Asilidae	Asilidae	family	9750
Arthropoda	Insecta	Diptera	Scathophagidae	Scathophagidae	family	10480
Arthropoda	Insecta	Diptera	Tipulidae	Tipulidae	family	10480
Arthropoda	Insecta	Diptera	Lauxaniidae	Lauxaniidae	family	10778
Arthropoda	Insecta	Diptera	Heleomyzidae	Heleomyzidae	family	12101
Arthropoda	Insecta	Diptera	Stratiomyidae	Stratiomyidae	family	13135
Arthropoda	Insecta	Diptera	Tabanidae	Tabanidae	family	13713
Arthropoda	Insecta	Diptera	Ephydridae	Ephydridae	family	14361
Arthropoda	Insecta	Diptera	Pipunculidae	Pipunculidae	family	18345
Arthropoda	Insecta	Diptera	Calliphoridae	Calliphoridae	family	20618
Arthropoda	Insecta	Diptera	Sarcophagidae	Sarcophagidae	family	21671
Arthropoda	Insecta	Diptera	Milichiidae	Milichiidae	family	22657
Arthropoda	Insecta	Diptera	Simuliidae	Simuliidae	family	22667
Arthropoda	Insecta	Diptera	Empididae	Empididae	family	23287
Arthropoda	Insecta	Diptera	Limoniidae	Limoniidae	family	28130
Arthropoda	Insecta	Diptera	Agromyzidae	Agromyzidae	family	31742
Arthropoda	Insecta	Diptera	Tephritidae	Tephritidae	family	38549
Arthropoda	Insecta	Diptera	Hybotidae	Hybotidae	family	46409
Arthropoda	Insecta	Diptera	Sphaeroceridae	Sphaeroceridae	family	50903
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophilidae	family	51601
Arthropoda	Insecta	Diptera	Chloropidae	Chloropidae	family	52918
Arthropoda	Insecta	Diptera	Syrphidae	Syrphidae	family	54115
Arthropoda	Insecta	Diptera	Anthomyiidae	Anthomyiidae	family	59505
Arthropoda	Insecta	Diptera	Tachinidae	Tachinidae	family	71750
Arthropoda	Insecta	Diptera	Mycetophilidae	Mycetophilidae	family	76845
Arthropoda	Insecta	Diptera	Dolichopodidae	Dolichopodidae	family	91628
Arthropoda	Insecta	Diptera	Muscidae	Muscidae	family	105933
Arthropoda	Insecta	Diptera	Culicidae	Culicidae	family	113525
Arthropoda	Insecta	Diptera	Psychodidae	Psychodidae	family	129428
Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogonidae	family	243657
Arthropoda	Insecta	Diptera	Phoridae	Phoridae	family	355760
Arthropoda	Insecta	Diptera	Sciaridae	Sciaridae	family	520475
Arthropoda	Insecta	Diptera	Chironomidae	Chironomidae	family	704425
Arthropoda	Insecta	Diptera	Cecidomyiidae	Cecidomyiidae	family	740297
